mkname,mk001,mk002,mk003,mk004,mk005,mk006,mk007,mk008,mk009,mk010,mk011,mk012,mk013,mk014,mk015,mk016,mk017,mk018,mk019,mk020,mk021,mk022,mk023,mk024,mk025,mk026,mk027,mk028,mk029,mk030,mk031,mk032,mk033,mk034,mk035,mk036,mk037,mk038,mk039,mk040,mk041,mk042,mk043,mk044,mk045,mk046,mk047,mk048,mk049,mk050,mk051,mk052,mk053,mk054,mk055,mk056,mk057,mk058,mk059,mk060,mk061,mk062,mk063,mk064,mk065,mk066,mk067,mk068,mk069,mk070,mk071,mk072,mk073,mk074,mk075,mk076,mk077,mk078,mk079,mk080,mk081,mk082,mk083,mk084,mk085,mk086,mk087,mk088,mk089,mk090,mk091,mk092,mk093,mk094,mk095,mk096,mk097,mk098,mk099,mk100,mk101,mk102,mk103,mk104,mk105,mk106,mk107,mk108,mk109,mk110,mk111,mk112,mk113,mk114,mk115,mk116,mk117,mk118,mk119,mk120,mk121,mk122
G001,0,0.041558026,0,0,0,0,0.083717291,0,0,0,0,0.021019659,0.040926639,0,0.009844063,-0.011033869,0,-0.010775596,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.969142937,-1,0,0,1,1,1,1,1,1,1,1,0.979616645,1,-1,0,0.022729159,0.039166683,0,0,0,0,-0.020948042,-0.014812429,0,1,0,0,-1,-1,0,0.151880098,0.265150076,0.260796155,0.261968039,0.159894851,0,1,1,1,0.992177354,1,1,1,1,1,1,0,-1,0,0,0.023020099,-1,-1,-1,-1,-1,-1,0,-0.55111203,-1,-0.315131682,0,0,0.023257436,-0.013487701,1,1,1,1,1,1,1,0.982906977,1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,0,0,1,1
G002,0,0.041558026,0,0,1,1,0.902443125,1,1,0,0,-1,-1,-1,-1,-0.988780771,-1,-0.634980915,1,0,0,0,0.014415576,0,0,0,1,0.270978058,0.117199426,0,-0.028891788,0,1,1,-1,-1,0,0,-0.011138434,0,0,1,0.979616645,1,1,1,1,0.981399239,1,1,1,0,-0.020948042,-0.014812429,0,-0.129220912,0,0,0,0,1,0.406978097,0.169353955,-0.006993859,0.017281638,-0.281964208,-1,0,-1,-1,-1,-0.678270605,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0.579223104,1,0,0,0,-1,0,1,1,0.982906977,1,1,1,0,-0.006724019,0,0,-1,0,1,1,1,1,1,0,0,0,1
G003,0,0.183638609,1,1,1,1,0.902443125,1,1,1,1,1,0.978855736,1,0.989992805,1,1,1,0,1,1,0,0.014415576,0,0,0,0,0.038975103,0.020208719,0,-0.028891788,0,0,0,1,1,1,1,-0.005673408,0,-1,1,0.841815015,0,1,0,0,0.739875929,1,1,0,0,-0.020948042,-0.014812429,0,-0.070553026,1,1,1,1,1,-0.055763177,0.034306443,-0.007521303,0.012131637,0,1,0,0,0,0.007553559,-0.045062024,0,0,1,1,1,0,-1,-1,-1,-1,0,1,1,1,1,1,0,-0.55111203,-1,-0.315131682,0,0,0.023257436,-0.013487701,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-0.993223971,-1,-1,-1,-1,-1,0,-0.031163225,0,0,0,0,0,-1
G004,0,0.183638609,1,1,1,1,0.246551841,0,0,0,0,0,0.44115749,1,0.989992805,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.028891788,0,1,1,0,0,0,1,1,1,0,1,0.979616645,1,-1,0,0,0.739875929,1,1,1,1,1,1,1,1,1,1,1,1,0,-0.069560371,0.635205528,1,0.802473191,0,0,-1,-1,0,0.257323261,1,0,0,0,0,0,-1,1,0,0,0.043266867,0,-1,-1,-1,-1,-1,0,-0.485109982,-1,-0.315131682,0,-1,0.011890782,-0.026198839,0,0,0,0,0,0,0,0.016792915,0,0,0,0,-0.006724019,0,0,0,-1,-1,-1,-0.96778679,-1,-1,-1,0,0,0
G005,1,0.953974135,1,1,1,1,0.902443125,1,1,1,1,1,0.978855736,1,0.606033166,-0.00777315,0,-0.010775596,0,1,1,1,0.984922847,1,1,1,1,0.270978058,0.117199426,0,-0.028891788,0,0,1,-1,-1,1,1,1,1,0,0,0.019241721,0,0,1,0,-1,-1,-1,-1,-1,-0.993509086,-1,0,-0.767086215,-1,0,0,0,0,-0.09643663,0.033628735,-0.00752386,0.012131622,0,0,0,1,1,0.992177354,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.55111203,-1,-0.954253362,-1,-1,-1,-0.608472098,0,0,0,0,0,1,1,0.982906977,1,0,0,1,1,1,1,1,0,-0.214889457,-1,-0.415692514,0,0,0,0,0,0
G006,1,0.799809169,0,0,0,0,0.044439008,-1,-1,-1,-1,0,0.020692952,0,0.009844063,-0.011033869,0,-0.010775596,0,1,0,0,0.849739294,1,0,0,0,-1,-1,-1,-0.795694892,0,0,0,-1,-1,0,0,-0.011138434,0,0,0,0.019241721,0,0,-1,0,0.018051003,0,0,0,0,-0.011523583,0.248335986,1,1,0,0,0,0,1,1,0.963039849,1,0.987486461,1,1,0,0,0,0.257323261,1,0,0,0,0,0,0,0,1,1,0.95441315,1,1,1,1,0,0,-1,-0.812561326,-1,-0.548341289,-0.348198252,0,0.579223104,1,1,1,1,0,0,-1,-1,-1,0,0,0,1,1,0,0,0,-1,-1,-1,-0.96778679,-1,-1,-1,-1,-1,0
G007,0,0.183638609,1,1,1,1,-1,-1,-1,0,0,0,0.020692952,0,0.016565308,0.006840955,0,-0.010775596,0,0,0,0,0.026201475,-0.248737505,-1,-1,-1,0.572508141,0.81692795,1,-0.01471301,0,0,0,-1,-1,0,0,-0.011138434,0,-1,0,0.019241721,0,-1,0,-1,0.009357637,0,0,0,0,-0.006436222,0,0,1,1,1,0,0,0,-0.096436646,0.033628372,-0.007545953,0.006263062,-1,0,-1,0,0,0.007553559,-0.045062024,0,0,0,0,-1,-1,0,0,0,0.043266867,0,0,0,0,0,0,-1,-0.392835405,0,-0.043142869,0,0,0.023113366,-0.026054243,0,1,1,0,0,0,0,0.016792915,0,0,0,0,-0.006724019,0,0,1,-1,-1,-1,1,1,1,1,1,1,1
G008,-1,-1,-1,-1,-1,-1,0.050418511,0,0,-1,-1,-1,0.0105436,0,0.009844063,-0.011033869,0,-0.010775596,0,-1,0,0,0.050231643,0.036434162,0,-1,-1,0.020997607,0.012693082,0,-0.193498598,-1,-1,-1,-1,-1,-1,0,-0.011138434,0,-1,1,0.979616645,1,1,0,1,0.981399239,1,1,0,0,-0.006436222,0,0,-0.767086215,-1,-1,-1,-1,-1,-0.356374497,0.029307343,-0.006859335,0.192598271,1,0,0,1,1,0.707319231,-0.219679865,-1,-1,-1,-1,0,0,-1,0,0,0.359137643,1,1,1,1,1,1,-1,-0.392835405,0,-0.671485174,-1,-1,0.011965756,-0.013563527,1,1,1,0,0,0,0,0.427392073,1,1,1,1,1,1,1,0,0,0,0,-0.016025433,1,1,1,1,1,-1
G009,1,0.799809169,0,-1,-1,-1,-1,-1,0,0,0,0,0.44115749,1,0.989992805,1,1,1,0.755783741,0,0,0,0.050231643,0.036434162,0,0,0,0.038975103,0.020208719,0,-0.028891788,0,0,0,0,0,0,0,1,1,0,0,0.010277832,-1,0,0,-1,-1,0,0,0,0,-0.020948042,-0.014812429,0,-0.129220912,0,0,0,0,0,-0.09643663,0.033628735,-0.00752386,0.012131622,0,-1,1,1,1,0.992177354,1,1,1,1,1,1,1,1,1,1,0.95441315,1,1,1,1,0,0,0,1,0,-0.043142869,0,0,0.019038465,-0.381488326,-1,-1,-1,1,1,1,0,0.008564718,-1,-1,-1,-1,-0.993223971,-1,-1,-1,-1,-1,-1,-0.96778679,-1,-1,-1,-1,-1,-1
G010,0,0.041558026,0,-1,-1,-1,-1,0,0,0,0,0,0.020692952,0,0.009844063,-0.011033869,0,-0.010775596,0,0,0,0,0.606152498,0.707398338,1,1,-1,0.020997607,0.012693082,0,-0.193498598,-1,-1,-1,-1,1,1,0,-0.011138434,0,0,0,0.150511157,1,0,1,1,0.254285514,0,0,0,0,-0.020948042,-0.014812429,0,-0.129220912,0,0,0,0,-1,1,0.963039849,1,0.802473191,0,0,0,0,0,0.007632463,-0.024317687,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-0.154859568,0,-0.043142869,0,1,0.411309627,-0.021052571,0,0,0,0,0,1,1,0.982906977,1,1,1,0,-0.006724019,0,0,0,0,0,0,-0.016025433,1,1,1,-1,-1,0
